Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Unitymedia WifiSpot;AE:22:15:54:C8:8E;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;5;0;0;0;0;0;;;Sat Dec  7 21:03:22 2019;Sat Dec  7 21:04:26 2019;-59;0;0;51.280087;7.227680;0.311000;337.642395;51.280285;7.228360;1.660000;337.642395;51.280087;7.228360;0.311000;0;0;0.0.0.0;
2;infrastructure;UPC173E563|2.4;90:5C:44:A1:22:0B;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;1;0;1;0;0;1;;;Sat Dec  7 21:04:18 2019;Sat Dec  7 21:04:25 2019;-60;0;0;51.280247;7.227680;0.745000;206.139999;51.280277;7.227764;1.662000;206.139999;51.280277;7.227764;0.745000;0;0;0.0.0.0;
3;infrastructure;Unitymedia WifiSpot;56:67:11:85:A8:00;;6;No;WPA2,AES-CCM,TKIP;No;54.0;0;5;0;0;0;0;0;;;Sat Dec  7 21:03:03 2019;Sat Dec  7 21:04:20 2019;-63;0;0;51.279972;7.227752;0.191000;316.262207;51.280296;7.228556;0.922000;316.262207;51.279972;7.228556;0.191000;0;0;0.0.0.0;
4;infrastructure;WLAN-WGHNL4;5C:03:39:3A:AD:9D;;6;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Sat Dec  7 21:04:29 2019;Sat Dec  7 21:04:29 2019;-64;0;0;51.280216;7.227670;1.580000;191.412094;51.280216;7.227670;1.581000;191.412094;51.280216;7.227670;1.580000;0;0;0.0.0.0;
5;infrastructure;WLAN-566214;94:6A:B0:33:5C:06;;9;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Sat Dec  7 21:04:19 2019;Sat Dec  7 21:04:33 2019;-64;0;0;51.280190;7.227652;0.647000;208.985901;51.280277;7.227752;1.095000;208.985901;51.280277;7.227752;0.647000;0;0;0.0.0.0;
6;infrastructure;WLAN;00:1D:19:FA:E5:C2;;2;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Sat Dec  7 21:04:19 2019;Sat Dec  7 21:04:19 2019;-64;0;0;51.280277;7.227752;0.647000;206.139999;51.280277;7.227764;0.745000;206.139999;51.280277;7.227764;0.745000;0;0;0.0.0.0;
7;infrastructure;Telekom_FON;44:FE:3B:A4:D2:7A;;6;No;OPN,None;No;54.0;0;2;0;0;0;0;0;;;Sat Dec  7 21:04:15 2019;Sat Dec  7 21:04:24 2019;-65;0;0;51.280262;7.227707;0.591000;259.584991;51.280285;7.227789;1.132000;259.584991;51.280285;7.227789;0.591000;0;0;0.0.0.0;
8;infrastructure;Sterntaler;04:A2:22:58:7C:80;;6;No;WPA2,AES-CCM;No;720.0;0;5;0;0;0;0;0;;;Sat Dec  7 20:53:39 2019;Sat Dec  7 21:04:34 2019;-66;0;0;51.277180;7.226967;0.378000;178.409302;51.280190;7.229095;1.090000;178.409302;51.277180;7.226967;1.045000;0;0;0.0.0.0;
9;infrastructure;Johann;76:31:70:0A:2E:19;;3;No;WPA2,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Sat Dec  7 21:04:33 2019;Sat Dec  7 21:04:33 2019;-67;0;0;51.280190;7.227652;1.095000;187.130707;51.280190;7.227652;1.095000;187.130707;51.280190;7.227652;1.095000;0;0;0.0.0.0;
10;infrastructure;UPC7C5929D;90:5C:44:84:34:AF;;6;No;WPA2,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Sat Dec  7 21:04:33 2019;Sat Dec  7 21:04:33 2019;-71;0;0;51.280190;7.227652;1.095000;187.130707;51.280190;7.227652;1.095000;187.130707;51.280190;7.227652;1.095000;0;0;0.0.0.0;
